command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6308104	File	/home/p4ultr4n/workplace/ReVeal/raw_code/parse_chr_1.c								
ANR	6308105	Function	parse_chr	1:0:0:329							
ANR	6308106	FunctionDef	"parse_chr (DeviceState * dev , Property * prop , const char * str)"		6308105	0					
ANR	6308107	CompoundStatement		3:0:73:329	6308105	0					
ANR	6308108	IdentifierDeclStatement	"CharDriverState * * ptr = qdev_get_prop_ptr ( dev , prop ) ;"	5:4:80:132	6308105	0	True				
ANR	6308109	IdentifierDecl	"* * ptr = qdev_get_prop_ptr ( dev , prop )"		6308105	0					
ANR	6308110	IdentifierDeclType	CharDriverState * *		6308105	0					
ANR	6308111	Identifier	ptr		6308105	1					
ANR	6308112	AssignmentExpression	"* * ptr = qdev_get_prop_ptr ( dev , prop )"		6308105	2		=			
ANR	6308113	Identifier	ptr		6308105	0					
ANR	6308114	CallExpression	"qdev_get_prop_ptr ( dev , prop )"		6308105	1					
ANR	6308115	Callee	qdev_get_prop_ptr		6308105	0					
ANR	6308116	Identifier	qdev_get_prop_ptr		6308105	0					
ANR	6308117	ArgumentList	dev		6308105	1					
ANR	6308118	Argument	dev		6308105	0					
ANR	6308119	Identifier	dev		6308105	0					
ANR	6308120	Argument	prop		6308105	1					
ANR	6308121	Identifier	prop		6308105	0					
ANR	6308122	ExpressionStatement	* ptr = qemu_chr_find ( str )	9:4:141:166	6308105	1	True				
ANR	6308123	AssignmentExpression	* ptr = qemu_chr_find ( str )		6308105	0		=			
ANR	6308124	UnaryOperationExpression	* ptr		6308105	0					
ANR	6308125	UnaryOperator	*		6308105	0					
ANR	6308126	Identifier	ptr		6308105	1					
ANR	6308127	CallExpression	qemu_chr_find ( str )		6308105	1					
ANR	6308128	Callee	qemu_chr_find		6308105	0					
ANR	6308129	Identifier	qemu_chr_find		6308105	0					
ANR	6308130	ArgumentList	str		6308105	1					
ANR	6308131	Argument	str		6308105	0					
ANR	6308132	Identifier	str		6308105	0					
ANR	6308133	IfStatement	if ( * ptr == NULL )		6308105	2					
ANR	6308134	Condition	* ptr == NULL	11:8:177:188	6308105	0	True				
ANR	6308135	EqualityExpression	* ptr == NULL		6308105	0		==			
ANR	6308136	UnaryOperationExpression	* ptr		6308105	0					
ANR	6308137	UnaryOperator	*		6308105	0					
ANR	6308138	Identifier	ptr		6308105	1					
ANR	6308139	Identifier	NULL		6308105	1					
ANR	6308140	CompoundStatement		9:22:117:117	6308105	1					
ANR	6308141	ReturnStatement	return - ENOENT ;	13:8:202:216	6308105	0	True				
ANR	6308142	UnaryOperationExpression	- ENOENT		6308105	0					
ANR	6308143	UnaryOperator	-		6308105	0					
ANR	6308144	Identifier	ENOENT		6308105	1					
ANR	6308145	IfStatement	if ( ( * ptr ) -> assigned )		6308105	3					
ANR	6308146	Condition	( * ptr ) -> assigned	17:8:234:249	6308105	0	True				
ANR	6308147	PtrMemberAccess	( * ptr ) -> assigned		6308105	0					
ANR	6308148	UnaryOperationExpression	* ptr		6308105	0					
ANR	6308149	UnaryOperator	*		6308105	0					
ANR	6308150	Identifier	ptr		6308105	1					
ANR	6308151	Identifier	assigned		6308105	1					
ANR	6308152	CompoundStatement		15:26:178:178	6308105	1					
ANR	6308153	ReturnStatement	return - EEXIST ;	19:8:263:277	6308105	0	True				
ANR	6308154	UnaryOperationExpression	- EEXIST		6308105	0					
ANR	6308155	UnaryOperator	-		6308105	0					
ANR	6308156	Identifier	EEXIST		6308105	1					
ANR	6308157	ExpressionStatement	( * ptr ) -> assigned = 1	23:4:291:311	6308105	4	True				
ANR	6308158	AssignmentExpression	( * ptr ) -> assigned = 1		6308105	0		=			
ANR	6308159	PtrMemberAccess	( * ptr ) -> assigned		6308105	0					
ANR	6308160	UnaryOperationExpression	* ptr		6308105	0					
ANR	6308161	UnaryOperator	*		6308105	0					
ANR	6308162	Identifier	ptr		6308105	1					
ANR	6308163	Identifier	assigned		6308105	1					
ANR	6308164	PrimaryExpression	1		6308105	1					
ANR	6308165	ReturnStatement	return 0 ;	25:4:318:326	6308105	5	True				
ANR	6308166	PrimaryExpression	0		6308105	0					
ANR	6308167	ReturnType	static int		6308105	1					
ANR	6308168	Identifier	parse_chr		6308105	2					
ANR	6308169	ParameterList	"DeviceState * dev , Property * prop , const char * str"		6308105	3					
ANR	6308170	Parameter	DeviceState * dev	1:21:21:36	6308105	0	True				
ANR	6308171	ParameterType	DeviceState *		6308105	0					
ANR	6308172	Identifier	dev		6308105	1					
ANR	6308173	Parameter	Property * prop	1:39:39:52	6308105	1	True				
ANR	6308174	ParameterType	Property *		6308105	0					
ANR	6308175	Identifier	prop		6308105	1					
ANR	6308176	Parameter	const char * str	1:55:55:69	6308105	2	True				
ANR	6308177	ParameterType	const char *		6308105	0					
ANR	6308178	Identifier	str		6308105	1					
ANR	6308179	CFGEntryNode	ENTRY		6308105		True				
ANR	6308180	CFGExitNode	EXIT		6308105		True				
ANR	6308181	Symbol	str		6308105						
ANR	6308182	Symbol	EEXIST		6308105						
ANR	6308183	Symbol	* * ptr		6308105						
ANR	6308184	Symbol	NULL		6308105						
ANR	6308185	Symbol	dev		6308105						
ANR	6308186	Symbol	prop		6308105						
ANR	6308187	Symbol	* ptr		6308105						
ANR	6308188	Symbol	qdev_get_prop_ptr		6308105						
ANR	6308189	Symbol	ENOENT		6308105						
ANR	6308190	Symbol	ptr		6308105						
ANR	6308191	Symbol	qemu_chr_find		6308105						
ANR	6308192	Symbol	( * ptr ) -> assigned		6308105						
