start	end	type	var
6308109	6308110	IS_AST_PARENT	
6308109	6308111	IS_AST_PARENT	
6308112	6308113	IS_AST_PARENT	
6308115	6308116	IS_AST_PARENT	
6308114	6308115	IS_AST_PARENT	
6308118	6308119	IS_AST_PARENT	
6308117	6308118	IS_AST_PARENT	
6308120	6308121	IS_AST_PARENT	
6308117	6308120	IS_AST_PARENT	
6308114	6308117	IS_AST_PARENT	
6308112	6308114	IS_AST_PARENT	
6308109	6308112	IS_AST_PARENT	
6308108	6308109	IS_AST_PARENT	
6308107	6308108	IS_AST_PARENT	
6308124	6308125	IS_AST_PARENT	
6308124	6308126	IS_AST_PARENT	
6308123	6308124	IS_AST_PARENT	
6308128	6308129	IS_AST_PARENT	
6308127	6308128	IS_AST_PARENT	
6308131	6308132	IS_AST_PARENT	
6308130	6308131	IS_AST_PARENT	
6308127	6308130	IS_AST_PARENT	
6308123	6308127	IS_AST_PARENT	
6308122	6308123	IS_AST_PARENT	
6308107	6308122	IS_AST_PARENT	
6308136	6308137	IS_AST_PARENT	
6308136	6308138	IS_AST_PARENT	
6308135	6308136	IS_AST_PARENT	
6308135	6308139	IS_AST_PARENT	
6308134	6308135	IS_AST_PARENT	
6308133	6308134	IS_AST_PARENT	
6308142	6308143	IS_AST_PARENT	
6308142	6308144	IS_AST_PARENT	
6308141	6308142	IS_AST_PARENT	
6308140	6308141	IS_AST_PARENT	
6308133	6308140	IS_AST_PARENT	
6308107	6308133	IS_AST_PARENT	
6308148	6308149	IS_AST_PARENT	
6308148	6308150	IS_AST_PARENT	
6308147	6308148	IS_AST_PARENT	
6308147	6308151	IS_AST_PARENT	
6308146	6308147	IS_AST_PARENT	
6308145	6308146	IS_AST_PARENT	
6308154	6308155	IS_AST_PARENT	
6308154	6308156	IS_AST_PARENT	
6308153	6308154	IS_AST_PARENT	
6308152	6308153	IS_AST_PARENT	
6308145	6308152	IS_AST_PARENT	
6308107	6308145	IS_AST_PARENT	
6308160	6308161	IS_AST_PARENT	
6308160	6308162	IS_AST_PARENT	
6308159	6308160	IS_AST_PARENT	
6308159	6308163	IS_AST_PARENT	
6308158	6308159	IS_AST_PARENT	
6308158	6308164	IS_AST_PARENT	
6308157	6308158	IS_AST_PARENT	
6308107	6308157	IS_AST_PARENT	
6308165	6308166	IS_AST_PARENT	
6308107	6308165	IS_AST_PARENT	
6308106	6308107	IS_AST_PARENT	
6308106	6308167	IS_AST_PARENT	
6308106	6308168	IS_AST_PARENT	
6308170	6308171	IS_AST_PARENT	
6308170	6308172	IS_AST_PARENT	
6308169	6308170	IS_AST_PARENT	
6308173	6308174	IS_AST_PARENT	
6308173	6308175	IS_AST_PARENT	
6308169	6308173	IS_AST_PARENT	
6308176	6308177	IS_AST_PARENT	
6308176	6308178	IS_AST_PARENT	
6308169	6308176	IS_AST_PARENT	
6308106	6308169	IS_AST_PARENT	
6308179	6308170	FLOWS_TO	
6308170	6308173	FLOWS_TO	
6308173	6308176	FLOWS_TO	
6308176	6308108	FLOWS_TO	
6308108	6308122	FLOWS_TO	
6308122	6308134	FLOWS_TO	
6308134	6308141	FLOWS_TO	
6308134	6308146	FLOWS_TO	
6308141	6308180	FLOWS_TO	
6308146	6308153	FLOWS_TO	
6308146	6308157	FLOWS_TO	
6308153	6308180	FLOWS_TO	
6308157	6308165	FLOWS_TO	
6308165	6308180	FLOWS_TO	
6308176	6308181	DEF	
6308122	6308181	USE	
6308131	6308181	USE	
6308153	6308182	USE	
6308146	6308183	USE	
6308157	6308183	DEF	
6308158	6308183	DEF	
6308134	6308184	USE	
6308170	6308185	DEF	
6308108	6308185	USE	
6308118	6308185	USE	
6308173	6308186	DEF	
6308108	6308186	USE	
6308120	6308186	USE	
6308122	6308187	DEF	
6308123	6308187	DEF	
6308134	6308187	USE	
6308146	6308187	USE	
6308147	6308187	USE	
6308157	6308187	USE	
6308159	6308187	USE	
6308108	6308188	USE	
6308112	6308188	USE	
6308141	6308189	USE	
6308108	6308190	DEF	
6308112	6308190	DEF	
6308109	6308190	DEF	
6308122	6308190	USE	
6308124	6308190	USE	
6308134	6308190	USE	
6308136	6308190	USE	
6308146	6308190	USE	
6308148	6308190	USE	
6308157	6308190	USE	
6308160	6308190	USE	
6308122	6308191	USE	
6308123	6308191	USE	
6308146	6308192	USE	
6308157	6308192	DEF	
6308158	6308192	DEF	
6308176	6308122	REACHES	str
6308170	6308108	REACHES	dev
6308173	6308108	REACHES	prop
6308122	6308134	REACHES	* ptr
6308122	6308146	REACHES	* ptr
6308122	6308157	REACHES	* ptr
6308108	6308122	REACHES	ptr
6308108	6308134	REACHES	ptr
6308108	6308146	REACHES	ptr
6308108	6308157	REACHES	ptr
6308179	6308170	CONTROLS	
6308179	6308173	CONTROLS	
6308179	6308176	CONTROLS	
6308179	6308108	CONTROLS	
6308179	6308122	CONTROLS	
6308179	6308134	CONTROLS	
6308134	6308141	CONTROLS	
6308134	6308146	CONTROLS	
6308146	6308153	CONTROLS	
6308146	6308157	CONTROLS	
6308146	6308165	CONTROLS	
6308108	6308122	DOM	
6308134	6308141	DOM	
6308122	6308134	DOM	
6308157	6308165	DOM	
6308179	6308170	DOM	
6308134	6308180	DOM	
6308179	6308179	DOM	
6308176	6308108	DOM	
6308170	6308173	DOM	
6308173	6308176	DOM	
6308134	6308146	DOM	
6308146	6308153	DOM	
6308146	6308157	DOM	
6308180	6308141	POST_DOM	
6308134	6308122	POST_DOM	
6308180	6308134	POST_DOM	
6308180	6308165	POST_DOM	
6308180	6308180	POST_DOM	
6308173	6308170	POST_DOM	
6308122	6308108	POST_DOM	
6308170	6308179	POST_DOM	
6308108	6308176	POST_DOM	
6308176	6308173	POST_DOM	
6308180	6308146	POST_DOM	
6308180	6308153	POST_DOM	
6308165	6308157	POST_DOM	
6308105	6308106	IS_FUNCTION_OF_AST	
