command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7761295	File	/home/p4ultr4n/workplace/ReVeal/raw_code/set_chr_1.c								
ANR	7761296	Function	set_chr	1:0:0:1080							
ANR	7761297	FunctionDef	"set_chr (Object * obj , Visitor * v , const char * name , void * opaque , Error * * errp)"		7761296	0					
ANR	7761298	CompoundStatement		5:0:113:1080	7761296	0					
ANR	7761299	IdentifierDeclStatement	DeviceState * dev = DEVICE ( obj ) ;	7:4:120:150	7761296	0	True				
ANR	7761300	IdentifierDecl	* dev = DEVICE ( obj )		7761296	0					
ANR	7761301	IdentifierDeclType	DeviceState *		7761296	0					
ANR	7761302	Identifier	dev		7761296	1					
ANR	7761303	AssignmentExpression	* dev = DEVICE ( obj )		7761296	2		=			
ANR	7761304	Identifier	dev		7761296	0					
ANR	7761305	CallExpression	DEVICE ( obj )		7761296	1					
ANR	7761306	Callee	DEVICE		7761296	0					
ANR	7761307	Identifier	DEVICE		7761296	0					
ANR	7761308	ArgumentList	obj		7761296	1					
ANR	7761309	Argument	obj		7761296	0					
ANR	7761310	Identifier	obj		7761296	0					
ANR	7761311	IdentifierDeclStatement	Error * local_err = NULL ;	9:4:157:180	7761296	1	True				
ANR	7761312	IdentifierDecl	* local_err = NULL		7761296	0					
ANR	7761313	IdentifierDeclType	Error *		7761296	0					
ANR	7761314	Identifier	local_err		7761296	1					
ANR	7761315	AssignmentExpression	* local_err = NULL		7761296	2		=			
ANR	7761316	Identifier	NULL		7761296	0					
ANR	7761317	Identifier	NULL		7761296	1					
ANR	7761318	IdentifierDeclStatement	Property * prop = opaque ;	11:4:187:210	7761296	2	True				
ANR	7761319	IdentifierDecl	* prop = opaque		7761296	0					
ANR	7761320	IdentifierDeclType	Property *		7761296	0					
ANR	7761321	Identifier	prop		7761296	1					
ANR	7761322	AssignmentExpression	* prop = opaque		7761296	2		=			
ANR	7761323	Identifier	opaque		7761296	0					
ANR	7761324	Identifier	opaque		7761296	1					
ANR	7761325	IdentifierDeclStatement	"CharBackend * be = qdev_get_prop_ptr ( dev , prop ) ;"	13:4:217:263	7761296	3	True				
ANR	7761326	IdentifierDecl	"* be = qdev_get_prop_ptr ( dev , prop )"		7761296	0					
ANR	7761327	IdentifierDeclType	CharBackend *		7761296	0					
ANR	7761328	Identifier	be		7761296	1					
ANR	7761329	AssignmentExpression	"* be = qdev_get_prop_ptr ( dev , prop )"		7761296	2		=			
ANR	7761330	Identifier	be		7761296	0					
ANR	7761331	CallExpression	"qdev_get_prop_ptr ( dev , prop )"		7761296	1					
ANR	7761332	Callee	qdev_get_prop_ptr		7761296	0					
ANR	7761333	Identifier	qdev_get_prop_ptr		7761296	0					
ANR	7761334	ArgumentList	dev		7761296	1					
ANR	7761335	Argument	dev		7761296	0					
ANR	7761336	Identifier	dev		7761296	0					
ANR	7761337	Argument	prop		7761296	1					
ANR	7761338	Identifier	prop		7761296	0					
ANR	7761339	IdentifierDeclStatement	CharDriverState * s ;	15:4:270:288	7761296	4	True				
ANR	7761340	IdentifierDecl	* s		7761296	0					
ANR	7761341	IdentifierDeclType	CharDriverState *		7761296	0					
ANR	7761342	Identifier	s		7761296	1					
ANR	7761343	IdentifierDeclStatement	char * str ;	17:4:295:304	7761296	5	True				
ANR	7761344	IdentifierDecl	* str		7761296	0					
ANR	7761345	IdentifierDeclType	char *		7761296	0					
ANR	7761346	Identifier	str		7761296	1					
ANR	7761347	IfStatement	if ( dev -> realized )		7761296	6					
ANR	7761348	Condition	dev -> realized	21:8:317:329	7761296	0	True				
ANR	7761349	PtrMemberAccess	dev -> realized		7761296	0					
ANR	7761350	Identifier	dev		7761296	0					
ANR	7761351	Identifier	realized		7761296	1					
ANR	7761352	CompoundStatement		17:23:218:218	7761296	1					
ANR	7761353	ExpressionStatement	"qdev_prop_set_after_realize ( dev , name , errp )"	23:8:343:387	7761296	0	True				
ANR	7761354	CallExpression	"qdev_prop_set_after_realize ( dev , name , errp )"		7761296	0					
ANR	7761355	Callee	qdev_prop_set_after_realize		7761296	0					
ANR	7761356	Identifier	qdev_prop_set_after_realize		7761296	0					
ANR	7761357	ArgumentList	dev		7761296	1					
ANR	7761358	Argument	dev		7761296	0					
ANR	7761359	Identifier	dev		7761296	0					
ANR	7761360	Argument	name		7761296	1					
ANR	7761361	Identifier	name		7761296	0					
ANR	7761362	Argument	errp		7761296	2					
ANR	7761363	Identifier	errp		7761296	0					
ANR	7761364	ReturnStatement	return ;	25:8:398:404	7761296	1	True				
ANR	7761365	ExpressionStatement	"visit_type_str ( v , name , & str , & local_err )"	31:4:420:461	7761296	7	True				
ANR	7761366	CallExpression	"visit_type_str ( v , name , & str , & local_err )"		7761296	0					
ANR	7761367	Callee	visit_type_str		7761296	0					
