start	end	type	var
7761300	7761301	IS_AST_PARENT	
7761300	7761302	IS_AST_PARENT	
7761303	7761304	IS_AST_PARENT	
7761306	7761307	IS_AST_PARENT	
7761305	7761306	IS_AST_PARENT	
7761309	7761310	IS_AST_PARENT	
7761308	7761309	IS_AST_PARENT	
7761305	7761308	IS_AST_PARENT	
7761303	7761305	IS_AST_PARENT	
7761300	7761303	IS_AST_PARENT	
7761299	7761300	IS_AST_PARENT	
7761298	7761299	IS_AST_PARENT	
7761312	7761313	IS_AST_PARENT	
7761312	7761314	IS_AST_PARENT	
7761315	7761316	IS_AST_PARENT	
7761315	7761317	IS_AST_PARENT	
7761312	7761315	IS_AST_PARENT	
7761311	7761312	IS_AST_PARENT	
7761298	7761311	IS_AST_PARENT	
7761319	7761320	IS_AST_PARENT	
7761319	7761321	IS_AST_PARENT	
7761322	7761323	IS_AST_PARENT	
7761322	7761324	IS_AST_PARENT	
7761319	7761322	IS_AST_PARENT	
7761318	7761319	IS_AST_PARENT	
7761298	7761318	IS_AST_PARENT	
7761326	7761327	IS_AST_PARENT	
7761326	7761328	IS_AST_PARENT	
7761329	7761330	IS_AST_PARENT	
7761332	7761333	IS_AST_PARENT	
7761331	7761332	IS_AST_PARENT	
7761335	7761336	IS_AST_PARENT	
7761334	7761335	IS_AST_PARENT	
7761337	7761338	IS_AST_PARENT	
7761334	7761337	IS_AST_PARENT	
7761331	7761334	IS_AST_PARENT	
7761329	7761331	IS_AST_PARENT	
7761326	7761329	IS_AST_PARENT	
7761325	7761326	IS_AST_PARENT	
7761298	7761325	IS_AST_PARENT	
7761340	7761341	IS_AST_PARENT	
7761340	7761342	IS_AST_PARENT	
7761339	7761340	IS_AST_PARENT	
7761298	7761339	IS_AST_PARENT	
7761344	7761345	IS_AST_PARENT	
7761344	7761346	IS_AST_PARENT	
7761343	7761344	IS_AST_PARENT	
7761298	7761343	IS_AST_PARENT	
7761349	7761350	IS_AST_PARENT	
7761349	7761351	IS_AST_PARENT	
7761348	7761349	IS_AST_PARENT	
7761347	7761348	IS_AST_PARENT	
7761355	7761356	IS_AST_PARENT	
7761354	7761355	IS_AST_PARENT	
7761358	7761359	IS_AST_PARENT	
7761357	7761358	IS_AST_PARENT	
7761360	7761361	IS_AST_PARENT	
7761357	7761360	IS_AST_PARENT	
7761362	7761363	IS_AST_PARENT	
7761357	7761362	IS_AST_PARENT	
7761354	7761357	IS_AST_PARENT	
7761353	7761354	IS_AST_PARENT	
7761352	7761353	IS_AST_PARENT	
7761352	7761364	IS_AST_PARENT	
7761347	7761352	IS_AST_PARENT	
7761298	7761347	IS_AST_PARENT	
7761367	7761368	IS_AST_PARENT	
7761366	7761367	IS_AST_PARENT	
7761370	7761371	IS_AST_PARENT	
7761369	7761370	IS_AST_PARENT	
7761372	7761373	IS_AST_PARENT	
7761369	7761372	IS_AST_PARENT	
7761375	7761376	IS_AST_PARENT	
7761375	7761377	IS_AST_PARENT	
7761374	7761375	IS_AST_PARENT	
7761369	7761374	IS_AST_PARENT	
7761379	7761380	IS_AST_PARENT	
7761379	7761381	IS_AST_PARENT	
7761378	7761379	IS_AST_PARENT	
7761369	7761378	IS_AST_PARENT	
7761366	7761369	IS_AST_PARENT	
7761365	7761366	IS_AST_PARENT	
7761298	7761365	IS_AST_PARENT	
7761383	7761384	IS_AST_PARENT	
7761382	7761383	IS_AST_PARENT	
7761388	7761389	IS_AST_PARENT	
7761387	7761388	IS_AST_PARENT	
7761391	7761392	IS_AST_PARENT	
7761390	7761391	IS_AST_PARENT	
7761393	7761394	IS_AST_PARENT	
7761390	7761393	IS_AST_PARENT	
7761387	7761390	IS_AST_PARENT	
7761386	7761387	IS_AST_PARENT	
7761385	7761386	IS_AST_PARENT	
7761385	7761395	IS_AST_PARENT	
7761382	7761385	IS_AST_PARENT	
7761298	7761382	IS_AST_PARENT	
7761398	7761399	IS_AST_PARENT	
7761400	7761401	IS_AST_PARENT	
7761400	7761402	IS_AST_PARENT	
7761398	7761400	IS_AST_PARENT	
7761397	7761398	IS_AST_PARENT	
7761396	7761397	IS_AST_PARENT	
7761406	7761407	IS_AST_PARENT	
7761405	7761406	IS_AST_PARENT	
7761409	7761410	IS_AST_PARENT	
7761408	7761409	IS_AST_PARENT	
7761405	7761408	IS_AST_PARENT	
7761404	7761405	IS_AST_PARENT	
7761403	7761404	IS_AST_PARENT	
7761413	7761414	IS_AST_PARENT	
7761413	7761415	IS_AST_PARENT	
7761412	7761413	IS_AST_PARENT	
7761412	7761416	IS_AST_PARENT	
7761411	7761412	IS_AST_PARENT	
7761403	7761411	IS_AST_PARENT	
7761403	7761417	IS_AST_PARENT	
7761396	7761403	IS_AST_PARENT	
7761298	7761396	IS_AST_PARENT	
7761419	7761420	IS_AST_PARENT	
7761422	7761423	IS_AST_PARENT	
7761421	7761422	IS_AST_PARENT	
7761425	7761426	IS_AST_PARENT	
7761424	7761425	IS_AST_PARENT	
7761421	7761424	IS_AST_PARENT	
