command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	8124744	File	/home/p4ultr4n/workplace/ReVeal/raw_code/sws_freeFilter_0.c								
ANR	8124745	Function	sws_freeFilter	1:0:0:338							
ANR	8124746	FunctionDef	sws_freeFilter (SwsFilter * filter)		8124745	0					
ANR	8124747	CompoundStatement		3:0:40:338	8124745	0					
ANR	8124748	IfStatement	if ( ! filter )		8124745	0					
ANR	8124749	Condition	! filter	5:8:51:57	8124745	0	True				
ANR	8124750	UnaryOperationExpression	! filter		8124745	0					
ANR	8124751	UnaryOperator	!		8124745	0					
ANR	8124752	Identifier	filter		8124745	1					
ANR	8124753	ReturnStatement	return ;	7:8:69:75	8124745	1	True				
ANR	8124754	IfStatement	if ( filter -> lumH )		8124745	1					
ANR	8124755	Condition	filter -> lumH	11:8:88:99	8124745	0	True				
ANR	8124756	PtrMemberAccess	filter -> lumH		8124745	0					
ANR	8124757	Identifier	filter		8124745	0					
ANR	8124758	Identifier	lumH		8124745	1					
ANR	8124759	ExpressionStatement	sws_freeVec ( filter -> lumH )	13:8:111:136	8124745	1	True				
ANR	8124760	CallExpression	sws_freeVec ( filter -> lumH )		8124745	0					
ANR	8124761	Callee	sws_freeVec		8124745	0					
ANR	8124762	Identifier	sws_freeVec		8124745	0					
ANR	8124763	ArgumentList	filter -> lumH		8124745	1					
ANR	8124764	Argument	filter -> lumH		8124745	0					
ANR	8124765	PtrMemberAccess	filter -> lumH		8124745	0					
ANR	8124766	Identifier	filter		8124745	0					
ANR	8124767	Identifier	lumH		8124745	1					
ANR	8124768	IfStatement	if ( filter -> lumV )		8124745	2					
ANR	8124769	Condition	filter -> lumV	15:8:147:158	8124745	0	True				
ANR	8124770	PtrMemberAccess	filter -> lumV		8124745	0					
ANR	8124771	Identifier	filter		8124745	0					
ANR	8124772	Identifier	lumV		8124745	1					
ANR	8124773	ExpressionStatement	sws_freeVec ( filter -> lumV )	17:8:170:195	8124745	1	True				
ANR	8124774	CallExpression	sws_freeVec ( filter -> lumV )		8124745	0					
ANR	8124775	Callee	sws_freeVec		8124745	0					
ANR	8124776	Identifier	sws_freeVec		8124745	0					
ANR	8124777	ArgumentList	filter -> lumV		8124745	1					
ANR	8124778	Argument	filter -> lumV		8124745	0					
ANR	8124779	PtrMemberAccess	filter -> lumV		8124745	0					
ANR	8124780	Identifier	filter		8124745	0					
ANR	8124781	Identifier	lumV		8124745	1					
ANR	8124782	IfStatement	if ( filter -> chrH )		8124745	3					
ANR	8124783	Condition	filter -> chrH	19:8:206:217	8124745	0	True				
ANR	8124784	PtrMemberAccess	filter -> chrH		8124745	0					
ANR	8124785	Identifier	filter		8124745	0					
ANR	8124786	Identifier	chrH		8124745	1					
ANR	8124787	ExpressionStatement	sws_freeVec ( filter -> chrH )	21:8:229:254	8124745	1	True				
ANR	8124788	CallExpression	sws_freeVec ( filter -> chrH )		8124745	0					
ANR	8124789	Callee	sws_freeVec		8124745	0					
ANR	8124790	Identifier	sws_freeVec		8124745	0					
ANR	8124791	ArgumentList	filter -> chrH		8124745	1					
ANR	8124792	Argument	filter -> chrH		8124745	0					
ANR	8124793	PtrMemberAccess	filter -> chrH		8124745	0					
ANR	8124794	Identifier	filter		8124745	0					
ANR	8124795	Identifier	chrH		8124745	1					
ANR	8124796	IfStatement	if ( filter -> chrV )		8124745	4					
ANR	8124797	Condition	filter -> chrV	23:8:265:276	8124745	0	True				
ANR	8124798	PtrMemberAccess	filter -> chrV		8124745	0					
ANR	8124799	Identifier	filter		8124745	0					
ANR	8124800	Identifier	chrV		8124745	1					
ANR	8124801	ExpressionStatement	sws_freeVec ( filter -> chrV )	25:8:288:313	8124745	1	True				
ANR	8124802	CallExpression	sws_freeVec ( filter -> chrV )		8124745	0					
ANR	8124803	Callee	sws_freeVec		8124745	0					
ANR	8124804	Identifier	sws_freeVec		8124745	0					
ANR	8124805	ArgumentList	filter -> chrV		8124745	1					
ANR	8124806	Argument	filter -> chrV		8124745	0					
ANR	8124807	PtrMemberAccess	filter -> chrV		8124745	0					
ANR	8124808	Identifier	filter		8124745	0					
ANR	8124809	Identifier	chrV		8124745	1					
ANR	8124810	ExpressionStatement	av_free ( filter )	27:4:320:335	8124745	5	True				
ANR	8124811	CallExpression	av_free ( filter )		8124745	0					
ANR	8124812	Callee	av_free		8124745	0					
ANR	8124813	Identifier	av_free		8124745	0					
ANR	8124814	ArgumentList	filter		8124745	1					
ANR	8124815	Argument	filter		8124745	0					
ANR	8124816	Identifier	filter		8124745	0					
ANR	8124817	ReturnType	void		8124745	1					
ANR	8124818	Identifier	sws_freeFilter		8124745	2					
ANR	8124819	ParameterList	SwsFilter * filter		8124745	3					
ANR	8124820	Parameter	SwsFilter * filter	1:20:20:36	8124745	0	True				
ANR	8124821	ParameterType	SwsFilter *		8124745	0					
ANR	8124822	Identifier	filter		8124745	1					
ANR	8124823	CFGEntryNode	ENTRY		8124745		True				
ANR	8124824	CFGExitNode	EXIT		8124745		True				
ANR	8124825	Symbol	filter		8124745						
ANR	8124826	Symbol	filter -> lumH		8124745						
ANR	8124827	Symbol	filter -> lumV		8124745						
ANR	8124828	Symbol	filter -> chrV		8124745						
ANR	8124829	Symbol	* filter		8124745						
ANR	8124830	Symbol	filter -> chrH		8124745						
