start	end	type	var
6308044	6308045	IS_AST_PARENT	
6308044	6308046	IS_AST_PARENT	
6308047	6308048	IS_AST_PARENT	
6308050	6308051	IS_AST_PARENT	
6308049	6308050	IS_AST_PARENT	
6308053	6308054	IS_AST_PARENT	
6308052	6308053	IS_AST_PARENT	
6308055	6308056	IS_AST_PARENT	
6308052	6308055	IS_AST_PARENT	
6308049	6308052	IS_AST_PARENT	
6308047	6308049	IS_AST_PARENT	
6308044	6308047	IS_AST_PARENT	
6308043	6308044	IS_AST_PARENT	
6308042	6308043	IS_AST_PARENT	
6308059	6308060	IS_AST_PARENT	
6308059	6308061	IS_AST_PARENT	
6308058	6308059	IS_AST_PARENT	
6308063	6308064	IS_AST_PARENT	
6308062	6308063	IS_AST_PARENT	
6308066	6308067	IS_AST_PARENT	
6308065	6308066	IS_AST_PARENT	
6308062	6308065	IS_AST_PARENT	
6308058	6308062	IS_AST_PARENT	
6308057	6308058	IS_AST_PARENT	
6308042	6308057	IS_AST_PARENT	
6308071	6308072	IS_AST_PARENT	
6308071	6308073	IS_AST_PARENT	
6308070	6308071	IS_AST_PARENT	
6308070	6308074	IS_AST_PARENT	
6308069	6308070	IS_AST_PARENT	
6308068	6308069	IS_AST_PARENT	
6308076	6308077	IS_AST_PARENT	
6308076	6308078	IS_AST_PARENT	
6308075	6308076	IS_AST_PARENT	
6308068	6308075	IS_AST_PARENT	
6308042	6308068	IS_AST_PARENT	
6308079	6308080	IS_AST_PARENT	
6308042	6308079	IS_AST_PARENT	
6308041	6308042	IS_AST_PARENT	
6308041	6308081	IS_AST_PARENT	
6308041	6308082	IS_AST_PARENT	
6308084	6308085	IS_AST_PARENT	
6308084	6308086	IS_AST_PARENT	
6308083	6308084	IS_AST_PARENT	
6308087	6308088	IS_AST_PARENT	
6308087	6308089	IS_AST_PARENT	
6308083	6308087	IS_AST_PARENT	
6308090	6308091	IS_AST_PARENT	
6308090	6308092	IS_AST_PARENT	
6308083	6308090	IS_AST_PARENT	
6308041	6308083	IS_AST_PARENT	
6308093	6308084	FLOWS_TO	
6308084	6308087	FLOWS_TO	
6308087	6308090	FLOWS_TO	
6308090	6308043	FLOWS_TO	
6308043	6308057	FLOWS_TO	
6308057	6308069	FLOWS_TO	
6308069	6308075	FLOWS_TO	
6308069	6308079	FLOWS_TO	
6308075	6308094	FLOWS_TO	
6308079	6308094	FLOWS_TO	
6308090	6308095	DEF	
6308057	6308095	USE	
6308066	6308095	USE	
6308069	6308096	USE	
6308084	6308097	DEF	
6308043	6308097	USE	
6308053	6308097	USE	
6308087	6308098	DEF	
6308043	6308098	USE	
6308055	6308098	USE	
6308057	6308099	DEF	
6308058	6308099	DEF	
6308069	6308099	USE	
6308043	6308100	USE	
6308047	6308100	USE	
6308075	6308101	USE	
6308043	6308102	DEF	
6308047	6308102	DEF	
6308044	6308102	DEF	
6308057	6308102	USE	
6308059	6308102	USE	
6308069	6308102	USE	
6308071	6308102	USE	
6308057	6308103	USE	
6308058	6308103	USE	
6308090	6308057	REACHES	str
6308084	6308043	REACHES	dev
6308087	6308043	REACHES	prop
6308057	6308069	REACHES	* ptr
6308043	6308057	REACHES	ptr
6308043	6308069	REACHES	ptr
6308093	6308084	CONTROLS	
6308093	6308087	CONTROLS	
6308093	6308090	CONTROLS	
6308093	6308043	CONTROLS	
6308093	6308057	CONTROLS	
6308093	6308069	CONTROLS	
6308069	6308075	CONTROLS	
6308069	6308079	CONTROLS	
6308093	6308093	DOM	
6308057	6308069	DOM	
6308093	6308084	DOM	
6308090	6308043	DOM	
6308069	6308094	DOM	
6308069	6308079	DOM	
6308087	6308090	DOM	
6308043	6308057	DOM	
6308084	6308087	DOM	
6308069	6308075	DOM	
6308094	6308069	POST_DOM	
6308084	6308093	POST_DOM	
6308087	6308084	POST_DOM	
6308057	6308043	POST_DOM	
6308094	6308094	POST_DOM	
6308094	6308079	POST_DOM	
6308043	6308090	POST_DOM	
6308069	6308057	POST_DOM	
6308094	6308075	POST_DOM	
6308090	6308087	POST_DOM	
6308040	6308041	IS_FUNCTION_OF_AST	
6308040	6308093	IS_FUNCTION_OF_CFG	
6308039	6308040	IS_FILE_OF	
