command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6308039	File	/home/p4ultr4n/workplace/ReVeal/raw_code/parse_chr_0.c								
ANR	6308040	Function	parse_chr	1:0:0:232							
ANR	6308041	FunctionDef	"parse_chr (DeviceState * dev , Property * prop , const char * str)"		6308040	0					
ANR	6308042	CompoundStatement		3:0:73:232	6308040	0					
ANR	6308043	IdentifierDeclStatement	"CharDriverState * * ptr = qdev_get_prop_ptr ( dev , prop ) ;"	5:4:80:132	6308040	0	True				
ANR	6308044	IdentifierDecl	"* * ptr = qdev_get_prop_ptr ( dev , prop )"		6308040	0					
ANR	6308045	IdentifierDeclType	CharDriverState * *		6308040	0					
ANR	6308046	Identifier	ptr		6308040	1					
ANR	6308047	AssignmentExpression	"* * ptr = qdev_get_prop_ptr ( dev , prop )"		6308040	2		=			
ANR	6308048	Identifier	ptr		6308040	0					
ANR	6308049	CallExpression	"qdev_get_prop_ptr ( dev , prop )"		6308040	1					
ANR	6308050	Callee	qdev_get_prop_ptr		6308040	0					
ANR	6308051	Identifier	qdev_get_prop_ptr		6308040	0					
ANR	6308052	ArgumentList	dev		6308040	1					
ANR	6308053	Argument	dev		6308040	0					
ANR	6308054	Identifier	dev		6308040	0					
ANR	6308055	Argument	prop		6308040	1					
ANR	6308056	Identifier	prop		6308040	0					
ANR	6308057	ExpressionStatement	* ptr = qemu_chr_find ( str )	9:4:141:166	6308040	1	True				
ANR	6308058	AssignmentExpression	* ptr = qemu_chr_find ( str )		6308040	0		=			
ANR	6308059	UnaryOperationExpression	* ptr		6308040	0					
ANR	6308060	UnaryOperator	*		6308040	0					
ANR	6308061	Identifier	ptr		6308040	1					
ANR	6308062	CallExpression	qemu_chr_find ( str )		6308040	1					
ANR	6308063	Callee	qemu_chr_find		6308040	0					
ANR	6308064	Identifier	qemu_chr_find		6308040	0					
ANR	6308065	ArgumentList	str		6308040	1					
ANR	6308066	Argument	str		6308040	0					
ANR	6308067	Identifier	str		6308040	0					
ANR	6308068	IfStatement	if ( * ptr == NULL )		6308040	2					
ANR	6308069	Condition	* ptr == NULL	11:8:177:188	6308040	0	True				
ANR	6308070	EqualityExpression	* ptr == NULL		6308040	0		==			
ANR	6308071	UnaryOperationExpression	* ptr		6308040	0					
ANR	6308072	UnaryOperator	*		6308040	0					
ANR	6308073	Identifier	ptr		6308040	1					
ANR	6308074	Identifier	NULL		6308040	1					
ANR	6308075	ReturnStatement	return - ENOENT ;	13:8:200:214	6308040	1	True				
ANR	6308076	UnaryOperationExpression	- ENOENT		6308040	0					
ANR	6308077	UnaryOperator	-		6308040	0					
ANR	6308078	Identifier	ENOENT		6308040	1					
ANR	6308079	ReturnStatement	return 0 ;	15:4:221:229	6308040	3	True				
ANR	6308080	PrimaryExpression	0		6308040	0					
ANR	6308081	ReturnType	static int		6308040	1					
ANR	6308082	Identifier	parse_chr		6308040	2					
ANR	6308083	ParameterList	"DeviceState * dev , Property * prop , const char * str"		6308040	3					
ANR	6308084	Parameter	DeviceState * dev	1:21:21:36	6308040	0	True				
ANR	6308085	ParameterType	DeviceState *		6308040	0					
ANR	6308086	Identifier	dev		6308040	1					
ANR	6308087	Parameter	Property * prop	1:39:39:52	6308040	1	True				
ANR	6308088	ParameterType	Property *		6308040	0					
ANR	6308089	Identifier	prop		6308040	1					
ANR	6308090	Parameter	const char * str	1:55:55:69	6308040	2	True				
ANR	6308091	ParameterType	const char *		6308040	0					
ANR	6308092	Identifier	str		6308040	1					
ANR	6308093	CFGEntryNode	ENTRY		6308040		True				
ANR	6308094	CFGExitNode	EXIT		6308040		True				
ANR	6308095	Symbol	str		6308040						
ANR	6308096	Symbol	NULL		6308040						
ANR	6308097	Symbol	dev		6308040						
ANR	6308098	Symbol	prop		6308040						
ANR	6308099	Symbol	* ptr		6308040						
ANR	6308100	Symbol	qdev_get_prop_ptr		6308040						
ANR	6308101	Symbol	ENOENT		6308040						
ANR	6308102	Symbol	ptr		6308040						
ANR	6308103	Symbol	qemu_chr_find		6308040						
